Model,Accuracy,F1,AUC,Fold,Scenario
XGB,0.5925925925925926,0.6206896551724138,0.6153846153846154,2,D_Augment_4.0
KNN,0.7777777777777778,0.7692307692307693,0.8351648351648351,2,A_Baseline
KNN,0.7037037037037037,0.7333333333333333,0.8296703296703296,2,B_Fidelity
KNN,0.6666666666666666,0.6896551724137931,0.7637362637362638,2,C_Scale
KNN,0.8148148148148148,0.782608695652174,0.8598901098901099,2,D_Augment_0.5
KNN,0.7407407407407407,0.7407407407407407,0.8791208791208791,2,D_Augment_1.0
KNN,0.7777777777777778,0.75,0.8461538461538463,2,D_Augment_2.0
KNN,0.7037037037037037,0.7333333333333333,0.8406593406593407,2,D_Augment_4.0
LR,0.8518518518518519,0.8333333333333334,0.8681318681318682,2,A_Baseline
LR,0.7037037037037037,0.75,0.8791208791208791,2,B_Fidelity
LR,0.8518518518518519,0.8461538461538461,0.8956043956043956,2,C_Scale
LR,0.7777777777777778,0.7857142857142857,0.8736263736263736,2,D_Augment_0.5
LR,0.8148148148148148,0.8148148148148148,0.9065934065934066,2,D_Augment_1.0
LR,0.8518518518518519,0.8571428571428571,0.9230769230769231,2,D_Augment_2.0
LR,0.8518518518518519,0.8571428571428571,0.9285714285714286,2,D_Augment_4.0
RF,0.8148148148148148,0.8148148148148148,0.8791208791208791,3,A_Baseline
RF,0.5925925925925926,0.47619047619047616,0.5412087912087913,3,B_Fidelity
RF,0.7777777777777778,0.7857142857142857,0.8351648351648352,3,C_Scale
RF,0.7777777777777778,0.7857142857142857,0.8791208791208791,3,D_Augment_0.5
RF,0.8518518518518519,0.8571428571428571,0.8846153846153846,3,D_Augment_1.0
RF,0.7407407407407407,0.72,0.8653846153846154,3,D_Augment_2.0
RF,0.8888888888888888,0.896551724137931,0.9175824175824175,3,D_Augment_4.0
XGB,0.7407407407407407,0.72,0.8461538461538461,3,A_Baseline
XGB,0.5185185185185185,0.38095238095238093,0.5274725274725275,3,B_Fidelity
XGB,0.7407407407407407,0.6956521739130435,0.7747252747252746,3,C_Scale
XGB,0.6666666666666666,0.64,0.7857142857142857,3,D_Augment_0.5
XGB,0.7407407407407407,0.6666666666666666,0.8846153846153846,3,D_Augment_1.0
XGB,0.8888888888888888,0.896551724137931,0.9120879120879121,3,D_Augment_2.0
XGB,0.7407407407407407,0.7586206896551724,0.8681318681318682,3,D_Augment_4.0
KNN,0.8148148148148148,0.8148148148148148,0.8461538461538463,3,A_Baseline
KNN,0.48148148148148145,0.5333333333333333,0.510989010989011,3,B_Fidelity
KNN,0.6666666666666666,0.6666666666666666,0.7637362637362638,3,C_Scale
KNN,0.7407407407407407,0.7407407407407407,0.7884615384615383,3,D_Augment_0.5
KNN,0.7777777777777778,0.7857142857142857,0.8516483516483516,3,D_Augment_1.0
KNN,0.7037037037037037,0.6923076923076923,0.7692307692307692,3,D_Augment_2.0
KNN,0.7777777777777778,0.75,0.8351648351648352,3,D_Augment_4.0
LR,0.7777777777777778,0.7857142857142857,0.8626373626373627,3,A_Baseline
LR,0.7407407407407407,0.6956521739130435,0.7747252747252747,3,B_Fidelity
LR,0.8148148148148148,0.8,0.846153846153846,3,C_Scale
LR,0.7777777777777778,0.7692307692307693,0.8571428571428571,3,D_Augment_0.5
LR,0.8148148148148148,0.8275862068965517,0.8681318681318682,3,D_Augment_1.0
LR,0.7407407407407407,0.7407407407407407,0.8681318681318682,3,D_Augment_2.0
LR,0.7777777777777778,0.7857142857142857,0.8901098901098901,3,D_Augment_4.0
RF,0.8518518518518519,0.8181818181818182,0.9722222222222222,4,A_Baseline
RF,0.8148148148148148,0.7619047619047619,0.9388888888888889,4,B_Fidelity
RF,0.8518518518518519,0.8333333333333334,0.9277777777777778,4,C_Scale
RF,0.8888888888888888,0.8695652173913043,0.9833333333333334,4,D_Augment_0.5
RF,1.0,1.0,1.0,4,D_Augment_1.0
RF,0.8148148148148148,0.782608695652174,0.9611111111111111,4,D_Augment_2.0
RF,0.9629629629629629,0.96,0.9833333333333334,4,D_Augment_4.0
XGB,0.8148148148148148,0.782608695652174,0.8888888888888888,4,A_Baseline
XGB,0.8148148148148148,0.8,0.8833333333333333,4,B_Fidelity
XGB,0.9259259259259259,0.9166666666666666,0.95,4,C_Scale
XGB,0.7777777777777778,0.7272727272727273,0.9111111111111111,4,D_Augment_0.5
XGB,0.8518518518518519,0.8333333333333334,0.9722222222222223,4,D_Augment_1.0
XGB,0.8888888888888888,0.88,0.9833333333333334,4,D_Augment_2.0
XGB,0.8888888888888888,0.8695652173913043,0.9444444444444445,4,D_Augment_4.0
KNN,0.7407407407407407,0.6666666666666666,0.8944444444444444,4,A_Baseline
KNN,0.7407407407407407,0.6666666666666666,0.7472222222222222,4,B_Fidelity
KNN,0.8148148148148148,0.8,0.9,4,C_Scale
KNN,0.8148148148148148,0.7619047619047619,0.875,4,D_Augment_0.5
KNN,0.7407407407407407,0.6666666666666666,0.9111111111111112,4,D_Augment_1.0
KNN,0.7777777777777778,0.7272727272727273,0.8722222222222222,4,D_Augment_2.0
KNN,0.8888888888888888,0.88,0.9555555555555556,4,D_Augment_4.0
